"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifica que un encargado pueda agregar un nuevo cupón a un grupo de cupones DNIsPago existente y reciba confirmación de éxito","21295","Puede agregar un nuevo cupón a un grupo de cupones DNIsPago y ver confirmación","chromium","Fri Aug 08 16:23:43 GMT-03:00 2025","passed","Fri Aug 08 16:24:04 GMT-03:00 2025","Gestion de Grupos de Cupones > Grupo DNIsPago","","",""
"","7688","Error cuando las contraseñas no coinciden","chromium","Fri Aug 08 16:27:17 GMT-03:00 2025","passed","Fri Aug 08 16:27:25 GMT-03:00 2025","Registro de usuario","","",""
"Verifica que se muestre un mensaje de error cuando se intenta crear un cupón DNI Pago sin nombre","24677","Muestra error cuando no se ingresa el nombre del cupón de pago","chromium","Fri Aug 08 16:15:08 GMT-03:00 2025","passed","Fri Aug 08 16:15:32 GMT-03:00 2025","Gestión de Cupones > DNIsPago","","",""
"Verifica que se muestre un mensaje de error cuando se intenta agregar un vendedor con rol ya existente","12079","Muestra mensaje si el vendedor ya posee el rol indicado","chromium","Fri Aug 08 16:24:41 GMT-03:00 2025","passed","Fri Aug 08 16:24:53 GMT-03:00 2025","Gestión de Roles > Gestión de Vendedores","","",""
"Verifica que un encargado pueda editar un cupón QR existente y recibir confirmación de la modificación","11644","Puede editar un cupón QR y ver confirmación","chromium","Fri Aug 08 16:17:55 GMT-03:00 2025","passed","Fri Aug 08 16:18:07 GMT-03:00 2025","Gestión de Cupones > QR's","","",""
"Verifica que se muestre un mensaje de error cuando se intenta crear un cupón DNI sin seleccionar un día de la semana","12101","Muestra error cuando no se selecciona un día para el cupón DNI","chromium","Fri Aug 08 16:12:59 GMT-03:00 2025","passed","Fri Aug 08 16:13:11 GMT-03:00 2025","Gestión de Cupones > DNIs","","",""
"Verifica que un encargado pueda eliminar un cupón QR Pago existente y recibir confirmación de la eliminación","11036","Puede eliminar un cupón QR Pago y ver confirmación","chromium","Fri Aug 08 16:19:32 GMT-03:00 2025","passed","Fri Aug 08 16:19:43 GMT-03:00 2025","Gestión de Cupones > QR's Pago","","",""
"Verifica que un encargado pueda eliminar un vendedor de un grupo y reciba confirmación de éxito","13338","Puede eliminar un vendedor del grupo y ver confirmación","chromium","Fri Aug 08 16:20:40 GMT-03:00 2025","passed","Fri Aug 08 16:20:53 GMT-03:00 2025","Gestión de Grupos de Vendedores","","",""
"Verifica que se muestre un mensaje de error cuando se intenta crear un cupón QR sin seleccionar un día de la semana","15765","Muestra error cuando no se selecciona un día para el cupón QR","chromium","Fri Aug 08 16:17:23 GMT-03:00 2025","passed","Fri Aug 08 16:17:38 GMT-03:00 2025","Gestión de Cupones > QR's","","",""
"Verifica que se muestre un mensaje de error cuando se intenta agregar un supervisor con rol ya existente","11983","Muestra mensaje si el supervisor ya posee el rol indicado","chromium","Fri Aug 08 16:25:53 GMT-03:00 2025","passed","Fri Aug 08 16:26:05 GMT-03:00 2025","Gestión de Roles > Gestión de Supervisores","","",""
